a_date	orig	dest	symbol	close	dollar_vol_m	company
2010-02-23	NASDAQ	NYSE	SCHW	18.40999984741211	216.532895205307	SCHWAB CHARLES CORP
2010-03-15	NYSE_AMERICAN	NASDAQ	JVA	4.940000057220459	0.06422000074386597	COFFEE HOLDING CO INC
2010-04-19	NYSE_AMERICAN	NASDAQ	FTFT	172544.0	0.86272	SkyPeople Fruit Juice, Inc
2010-06-01	NYSE_AMERICAN	NASDAQ	TLF	4.369999885559082	0.2455939935684204	TANDY LEATHER FACTORY INC
2010-07-26	NASDAQ	NYSE_AMERICAN	AGIG	1176.25	1.80672	HOUSTON AMERICAN ENERGY CORP
2010-09-13	NYSE	NASDAQ	CNET	213.5	0.112301	ChinaNet Online Holdings, Inc.
2010-10-28	NYSE_AMERICAN	NYSE	MUX	49.90439987182617	6.982274299266815	U S GOLD CORP
2010-12-20	NYSE	NASDAQ	HAS	49.31999969482422	32.42296779937744	HASBRO INC
2010-12-27	NASDAQ	NYSE	BBDC	19.56999969482422	1.81805297164917	Triangle Capital CORP
2010-12-30	NYSE	NASDAQ	CAR	15.25	14.65525	AVIS BUDGET GROUP, INC.
2011-03-09	NYSE_AMERICAN	NYSE	EXK	9.350000381469727	39.26719660205841	ENDEAVOUR SILVER CORP
2011-03-31	NYSE_AMERICAN	NYSE	ARR	302.79998779296875	4.584391815185547	Armour Residential REIT, Inc.
2011-05-13	NASDAQ	NYSE	DDD	12.316666603088379	12.865989933586121	3D SYSTEMS CORP
2011-09-14	NYSE_AMERICAN	NYSE	OPK	4.5	11.9214	Opko Health, Inc.
2011-09-29	NASDAQ	NYSE_AMERICAN	ELMD	3.299999952316284	0.003959999942779541	Electromed, Inc.
2011-11-25	NYSE	NASDAQ	OCSL	27.09000015258789	4.1528970233917235	Fifth Street Finance Corp
2011-12-09	NYSE	NASDAQ	SLM	4.674767971038818	40.971793517611026	SLM CORP
2011-12-14	NYSE	NASDAQ	EML	19.100000381469727	0.29223000583648684	EASTERN CO
2011-12-15	NYSE	NASDAQ	TXN	28.510000228881836	298.7848023986816	TEXAS INSTRUMENTS INC
2011-12-22	NASDAQ	NYSE	PB	41.16999816894531	32.606638549804686	PROSPERITY BANCSHARES INC
2011-12-22	NASDAQ	NYSE	TISI	290.0	1.943	TEAM INC
2011-12-23	NYSE	NASDAQ	WEN	5.340000152587891	12.21097834892273	Wendy's Co
2012-03-21	NYSE	NASDAQ	ADI	40.13999938964844	88.78566464996338	ANALOG DEVICES INC
2012-04-17	NASDAQ	NYSE	HTGC	11.1899995803833	3.9948298501968384	HERCULES TECHNOLOGY GROWTH CAPITAL INC
2012-05-23	NASDAQ	NYSE	TEVA	38.58000183105469	172.5606321899414	TEVA PHARMACEUTICAL INDUSTRIES LTD
2012-05-31	NYSE	NASDAQ	WDC	23.72637939453125	275.08940821038817	WESTERN DIGITAL CORP
2012-06-25	NYSE	NASDAQ	MDLZ	38.61000061035156	265.46305919647216	KRAFT FOODS INC
2012-08-10	NASDAQ	NYSE	USPH	27.209999084472656	1.5047129493713378	U S PHYSICAL THERAPY INC /NV
2012-08-22	NASDAQ	NYSE	EFOR	16.239999771118164	1.2650959821701049	ON ASSIGNMENT INC
2012-10-19	NASDAQ	NYSE	HCI	24.09000015258789	4.369926027679443	Homeowners Choice, Inc.
2012-12-27	NYSE	NASDAQ	PPC	7.090000152587891	3.543582076263428	PILGRIMS PRIDE CORP
