series	window	n	mean	median	t	sd	skew	exkurt	pctpos	k_half	nullG_p50	nullG_p05	nullG_p95	boot_p50	top1sh	top5sh	exTop	exBot	trimBoth	dropBest3	dropWorst3	best12mo_share	clust_p	rho1	yrs_t2	maxDDpct	trough	bestMo	bestMoRet
BM Hi10-Lo10 VW spread	post-pub 2014-01..2024-12	132	-0.6118	-0.995	-1.17	6.008	-0.21	2.33	39.4						-0.215	-0.821	-0.7493	-0.4186	-0.5557	-0.9657	-0.1909			0.036		-69.1	2020-09	2016-11	17.4
BM Hi10-Lo10 VW spread	post-pub ext ..2026-07	151	-0.0664	-0.47	-0.13	6.172	-0.03	2.33	45.0						-2.007	-7.807	-0.3192	0.2262	-0.026	-0.4212	0.3115			0.073		-69.1	2020-09	2026-04	20.13
BM Hi10-Lo10 VW spread	in-sample 1963-07..2013-12	606	0.5218	0.335	2.82	4.561	0.34	1.59	53.0	11	14	6	25	11	0.063	0.27	0.3589	0.6528	0.4895	0.4356	0.5965	0.204	0.0677	0.18	25.5	-59.8	2012-05	1975-01	20.07
BM Hi10-Lo10 VW spread	full available	1201	0.4465	-0.01	2.42	6.383	2.33	20.48	49.9	6	17	6	29	7	0.128	0.467	0.1134	0.6407	0.3062	0.3058	0.5055	0.28	0.0125	0.119	68.1	-81.7	2020-09	1932-08	68.44
HML published 2x3 spread	post-pub 2014-01..2024-12	132	-0.1795	-0.495	-0.56	3.66	0.25	2.0	38.6						-0.543	-1.897	-0.279	-0.0753	-0.1748	-0.4133	0.0547			0.113		-51.4	2020-09	2022-01	12.86
HML published 2x3 spread	post-pub ext ..2026-07	151	-0.0324	-0.45	-0.11	3.581	0.17	1.82	41.1						-2.63	-9.19	-0.1758	0.1207	-0.0225	-0.2332	0.1747			0.125		-51.4	2020-09	2022-01	12.86
HML published 2x3 spread	in-sample 1963-07..2013-12	606	0.3816	0.36	3.36	2.793	0.1	1.99	56.9	15	18	9	28	15	0.053	0.216	0.2888	0.4762	0.3835	0.3286	0.4343	0.251	0.0002	0.168	17.9	-39.8	2000-02	2000-11	12.25
HML published 2x3 spread	full available	757	0.299	0.22	2.77	2.969	0.09	2.14	53.8	13	16	6	27	13	0.057	0.241	0.1961	0.4057	0.3029	0.2507	0.3463	0.256	0.0005	0.158	32.9	-57.8	2020-09	2022-01	12.86
CTRL market excess Mkt-RF	post-pub 2014-01..2024-12	132	0.9805	1.28	2.54	4.436	-0.34	0.79	66.7	7	7	3	12	7	0.105	0.408	0.8843	1.0898	0.9938	0.7274	1.2537	0.404	0.114	-0.161	6.8	-25.3	2022-09	2020-04	13.58
CTRL market excess Mkt-RF	post-pub ext ..2026-07	151	0.9935	1.22	2.8	4.357	-0.3	0.79	64.9	8	8	3	13	8	0.091	0.363	0.8322	1.1605	0.9993	0.7706	1.232	0.349	0.108	-0.134	6.4	-25.3	2022-09	2020-04	13.58
CTRL market excess Mkt-RF	in-sample 1963-07..2013-12	606	0.501	0.855	2.75	4.484	-0.53	1.9	58.6	14	14	6	24	14	0.053	0.216	0.3778	0.6627	0.5399	0.4335	0.5971	0.151	0.5971	0.08	26.7	-55.8	1974-09	1974-10	16.1
CTRL market excess Mkt-RF	full available	757	0.5992	1.01	3.7	4.46	-0.49	1.71	59.8	21	21	11	33	21	0.035	0.15	0.4682	0.7647	0.634	0.5441	0.6765	0.115	0.3149	0.041	18.5	-55.8	1974-09	1974-10	16.1
CTRL SMB	post-pub 2014-01..2024-12	132	-0.2005	-0.25	-0.77	2.975	0.36	0.26	47.0						-0.315	-1.378	-0.2656	-0.1396	-0.2048	-0.3812	-0.0443			-0.081		-30.4	2024-06	2024-07	8.33
CTRL SMB	post-pub ext ..2026-07	151	-0.1831	-0.2	-0.78	2.899	0.36	0.31	45.7						-0.301	-1.319	-0.2901	-0.0844	-0.1916	-0.3402	-0.0466			-0.074		-35.3	2025-07	2024-07	8.33
CTRL SMB	in-sample 1963-07..2013-12	606	0.2796	0.085	2.26	3.046	0.36	3.64	51.7	8	11	4	21	9	0.109	0.36	0.1656	0.3739	0.2597	0.2117	0.3365	0.213	0.3802	0.071	39.6	-56.4	1999-03	2000-02	18.54
CTRL SMB	full available	757	0.1873	0.02	1.71	3.021	0.36	3.07	50.5	7	10	2	20	7	0.131	0.43	0.0733	0.2827	0.1685	0.1326	0.2328	0.255	0.3519	0.048	86.7	-56.4	1999-03	2000-02	18.54
CTRL CMA	post-pub 2014-01..2024-12	132	-0.0952	-0.525	-0.48	2.28	0.44	1.53	43.9						-0.615	-2.333	-0.155	-0.0421	-0.1018	-0.253	0.0459			0.116		-23.4	2020-10	2022-01	7.73
CTRL CMA	post-pub ext ..2026-07	151	-0.0658	-0.39	-0.35	2.323	0.37	1.03	45.0						-0.778	-3.029	-0.1616	0.0267	-0.0692	-0.2027	0.0578			0.104		-27.6	2025-10	2022-01	7.73
CTRL CMA	in-sample 1963-07..2013-12	606	0.3244	0.185	3.99	2.0	0.26	1.41	54.3	18	21	12	32	18	0.046	0.184	0.2576	0.3871	0.3202	0.2864	0.3576	0.193	0.0007	0.136	12.7	-17.9	1967-12	2001-02	9.0
CTRL CMA	full available	757	0.2466	0.09	3.27	2.073	0.26	1.32	52.4	15	19	9	30	15	0.048	0.204	0.174	0.3154	0.2428	0.2143	0.2748	0.204	0.0007	0.133	23.6	-27.6	2025-10	2001-02	9.0
