qi,n,spearman,top_dec,bot_dec,r2_phase_S,r2_phase_T,r2_ind_S,r2_ind_T
8086,229,0.9263463146450175,0.7391304347826086,0.8260869565217391,0.1121670959623452,0.09940693371104015,0.15668387923418314,0.18266042846951158
8087,523,0.9222154278519586,0.6923076923076923,0.75,0.017918976535113318,0.020815755469532737,0.11561903535946028,0.12986737757886457
8088,677,0.9039582588717846,0.7058823529411765,0.75,0.02661328395443774,0.029401419000504192,0.13649850419248954,0.13178697089118463
8089,695,0.881730127314876,0.7714285714285715,0.7714285714285715,0.01727782546800638,0.031156261167547106,0.11169406638203216,0.1256574732928929
8090,692,0.8835821437119505,0.782608695652174,0.6956521739130435,0.02799029498596539,0.03242113745800712,0.1052447379988889,0.12382683407989392
8091,669,0.9053589610360844,0.746268656716418,0.7313432835820896,0.03832329728283945,0.03179563478566927,0.09858580262065897,0.12044155382989696
8092,662,0.9043387672855386,0.7727272727272727,0.7121212121212122,0.030909642008008276,0.03081696209123108,0.1330215609431763,0.1187791525679518
8093,654,0.928498272830189,0.8307692307692308,0.8153846153846154,0.025809326285461287,0.03741041493697561,0.10704004934368816,0.11810329868023817
8094,655,0.9111065931200614,0.8181818181818182,0.8636363636363636,0.0449567917516599,0.04389347798240595,0.10041426568360945,0.11220155949569854
8095,622,0.9178666643609918,0.7741935483870968,0.7741935483870968,0.050654003925456936,0.03919773757522593,0.08205919928567618,0.09945428892713937
8096,599,0.9188438128445988,0.8166666666666667,0.7666666666666667,0.05108936382322227,0.04618457131632148,0.1282324419566957,0.10849499543692442
8097,570,0.9278968784885356,0.8070175438596491,0.7368421052631579,0.039724611056000336,0.06434896342786656,0.09180593579004137,0.10331502793005864
8098,535,0.941729033232997,0.8518518518518519,0.8148148148148148,0.059350894788942066,0.06889061426598075,0.09378087844722593,0.1322571800875263
8099,157,0.9690118395673505,0.8125,0.75,0.1892793159040368,0.2206961477713839,0.20327265219126056,0.2646233102206458
