root,day_edge,day_n,night_edge,night_n,reading,new
SI,0.00281278129682126,9010,0.019270877555233865,19607,edge is in the NIGHT,True
NG,0.00890843572252696,8436,0.006384490177042588,17447,even,True
HG,0.0026580879838455163,8809,0.003519338612952196,19640,even,True
NQ,0.027468432761777056,9644,-0.0008238366706992778,20342,edge is in the DAY,False
GC,0.015278194792924703,9267,0.009516615413704325,19531,edge is in the DAY,False
CL,0.01065967325556479,8330,0.014182659963594012,17601,even,False
