root,H,n,cond,unc,ratio,xcost
CL,3,1896,20.568565400843873,12.121424129353233,1.69687696605179,5.142141350210968
CL,6,1895,27.37044854881266,16.110268330478753,1.6989442998308697,6.842612137203165
CL,12,1894,38.12988384371701,22.327453640886482,1.7077578328902137,9.532470960929253
CL,24,1889,53.53308628904182,32.9239268772417,1.6259629809239424,13.383271572260455
GC,3,1942,22.742018537590095,10.413246268656724,2.1839508978139,4.548403707518019
GC,6,1942,30.57054582904223,13.941009239516708,2.1928502667072345,6.114109165808446
GC,12,1942,38.391864057672485,19.024385116670175,2.0180344238317325,7.678372811534497
GC,24,1940,47.541237113402005,26.012943755797284,1.8275992736426416,9.508247422680402
SI,3,1928,57.12396265560169,23.66400223936302,2.4139603300316175,7.140495331950211
SI,6,1928,72.48962655601662,31.508434046403412,2.300641994751595,9.061203319502077
SI,12,1928,91.32520746887971,43.05848547499738,2.120957262231371,11.415650933609964
SI,24,1924,110.71205821205822,59.55827781057602,1.8588861579271287,13.839007276507278
NG,3,1885,15.644562334217506,8.212725435323383,1.9049172479247125,3.1289124668435013
NG,6,1884,19.93418259023354,10.94311230731588,1.8216191180736392,3.986836518046708
NG,12,1880,28.123936170212765,15.001582994120307,1.8747312321130116,5.624787234042553
NG,24,1863,36.45893719806765,20.938736549809093,1.7412195387882685,7.291787439613531
ES,3,1958,22.007788559754843,8.78739747209896,2.504471731207358,5.178303190530551
ES,6,1958,29.538432073544435,11.50825975755027,2.5667157933383487,6.95021931142222
ES,12,1955,39.173273657289,15.168675851511663,2.5825110933058215,9.217240860538588
ES,24,1946,51.58466084275436,20.84800056322161,2.474321731061152,12.137567257118674
NQ,3,1959,40.645737621235334,10.1206135986733,4.016133727955342,9.65456950623167
NQ,6,1959,52.92470648289945,13.271161553344387,3.987948324656044,12.571189188337161
NQ,12,1957,69.12698007153807,17.50578546660636,3.948807678661614,16.419710230769137
NQ,24,1944,88.43595679012348,23.803620784964068,3.7152312914506456,21.00616550834287
