root,peak_min,hump,h15,h30,h60,h120,close
CL,120,False,0.475210970464135,0.48970976253298154,0.4825765575501584,0.4949708840656432,0.4918292040063258
GC,120,False,0.4721936148300721,0.470648815653965,0.4691040164778579,0.47835051546391755,0.4971693257848688
SI,120,False,0.4533195020746888,0.4610995850622407,0.4699170124481328,0.4802494802494803,0.4766597510373444
NG,60,False,0.4461538461538462,0.46337579617834396,0.4856382978723404,0.4787976382179281,0.4989406779661017
ES,60,True,0.4780388151174668,0.4811031664964249,0.49769820971867007,0.48047276464542654,0.48114169215086644
NQ,30,False,0.5002552322613578,0.5043389484430832,0.49923352069494126,0.5020576131687243,0.506374298827129
