root,trades,spread_p50,spread_p90,spread_mean,one_tick_share,half_mean,half_p50,touch_p50,touch_p10,trade_p50
MES,1651321,1.0,1.0,1.0432629391862636,0.9674848197291744,0.5670417804896807,0.5,21.0,2.0,1.0
MNQ,5330749,1.0,2.0,1.554381382428623,0.5683732248507668,1.0510675891886863,1.0,2.0,1.0,1.0
MCL,338228,1.0,2.0,1.665255389855364,0.703945267689251,0.9551042492046785,0.5,2.0,1.0,1.0
MNG,15305,2.0,3.0,2.5785037569421756,0.48369813786344334,1.3577915713819013,1.0,2.0,1.0,1.0
MHG,25578,2.0,4.0,6.058800531706936,0.325357729298616,2.5568457267964657,1.0,1.0,1.0,1.0
MGC,717028,2.0,11.0,6.8744888623596285,0.25737767562773,2.567180779551147,1.0,1.0,1.0,1.0
SIL,142579,1.0,2.0,14.235518554625857,0.5578100561793813,6.419374522194713,0.5,1.0,1.0,1.0
